item_id,movie_title,avg_rating
1449,Pather Panchali (1955),4.625
408,"Close Shave, A (1995)",4.491071428571429
318,Schindler's List (1993),4.466442953020135
169,"Wrong Trousers, The (1993)",4.466101694915254
483,Casablanca (1942),4.45679012345679
114,Wallace & Gromit: The Best of Aardman Animation (1996),4.447761194029851
64,"Shawshank Redemption, The (1994)",4.445229681978798
603,Rear Window (1954),4.3875598086124405
12,"Usual Suspects, The (1995)",4.385767790262173
50,Star Wars (1977),4.3584905660377355
